Landscape,Distance_m,Slant_Distance_m,Elevation_deg,Signal_Power_dBm,SINR_Single,SINR_Interferers,SINR_Actual
suburban,10,19950.0,89.97,-104.15,-4.18,-10.83,6.66
suburban,50,19950.0,89.86,-104.15,-4.18,-10.83,6.65
suburban,100,19950.0,89.71,-104.15,-4.18,-10.82,6.64
suburban,500,19956.0,88.56,-104.16,-4.18,-10.73,6.55
urban,10,19950.0,89.97,-105.2,-5.22,-15.4,10.18
urban,50,19950.0,89.86,-105.2,-5.22,-15.39,10.17
urban,100,19950.0,89.71,-105.2,-5.23,-15.38,10.15
urban,500,19956.0,88.56,-105.22,-5.24,-15.28,10.04
dense_urban,10,19950.0,89.97,-106.39,-6.41,-20.67,14.25
dense_urban,50,19950.0,89.86,-106.4,-6.42,-20.66,14.24
dense_urban,100,19950.0,89.71,-106.4,-6.42,-20.64,14.22
dense_urban,500,19956.0,88.56,-106.45,-6.47,-20.54,14.07
high_rise,10,19950.0,89.97,-110.58,-10.61,-32.38,21.78
high_rise,50,19950.0,89.86,-110.6,-10.62,-32.37,21.75
high_rise,100,19950.0,89.71,-110.62,-10.64,-32.36,21.72
high_rise,500,19956.0,88.56,-110.8,-10.82,-32.25,21.44
