Landscape,Distance_m,Slant_Distance_m,Elevation_deg,Signal_Power_dBm,SINR_Single,SINR_Interferers,SINR_Actual
suburban,10000,22359.0,63.43,-79.68,25.32,21.82,3.5
suburban,20000,28283.0,45.0,-82.1,22.9,23.74,-0.84
suburban,50000,53851.0,21.8,-89.78,15.22,24.54,-9.32
suburban,100000,101980.0,11.31,-97.7,7.3,15.09,-7.79
urban,10000,22359.0,63.43,-81.24,23.76,17.76,6.0
urban,20000,28283.0,45.0,-84.68,20.32,20.31,0.0
urban,50000,53851.0,21.8,-94.62,10.38,21.4,-11.02
urban,100000,101980.0,11.31,-103.06,1.94,9.89,-7.95
dense_urban,10000,22359.0,63.43,-83.65,21.35,12.69,8.66
dense_urban,20000,28283.0,45.0,-88.61,16.39,15.61,0.78
dense_urban,50000,53851.0,21.8,-99.94,5.06,16.93,-11.87
dense_urban,100000,101980.0,11.31,-108.18,-3.18,4.6,-7.78
high_rise,10000,22359.0,63.43,-91.55,13.45,1.08,12.38
high_rise,20000,28283.0,45.0,-99.11,5.89,4.28,1.61
high_rise,50000,53851.0,21.8,-111.67,-6.67,5.82,-12.48
high_rise,100000,101980.0,11.31,-119.74,-14.74,-7.08,-7.66
