distance_km,angle_deg,user_x_km,user_y_km,S_distance_km,I1_distance_km,I2_distance_km,closest_node,SINR_dB,S_path_loss_db,I1_path_loss_db,I2_path_loss_db,environment
10,270,-1.83697019872103e-15,-10.0,10.0,65.76473218982953,73.82975704226426,S,6.801804826557652,125.4515509775841,135.20633508099343,136.1345046050301,dense_urban
10,270,-1.83697019872103e-15,-10.0,10.0,65.76473218982953,73.82975704226426,S,6.801804826557652,125.4515509775841,135.20633508099343,136.1345046050301,high_rise
10,270,-1.83697019872103e-15,-10.0,10.0,65.76473218982953,73.82975704226426,S,6.801804826557652,125.4515509775841,135.20633508099343,136.1345046050301,suburban
10,270,-1.83697019872103e-15,-10.0,10.0,65.76473218982953,73.82975704226426,S,6.801804826557652,125.4515509775841,135.20633508099343,136.1345046050301,urban
30,270,-5.510910596163089e-15,-30.0,30.0,71.58910531638178,92.2089967126815,S,3.695393896952978,129.60160518168084,135.8856477612107,137.95746220236526,dense_urban
30,270,-5.510910596163089e-15,-30.0,30.0,71.58910531638178,92.2089967126815,S,3.695393896952978,129.60160518168084,135.8856477612107,137.95746220236526,high_rise
30,270,-5.510910596163089e-15,-30.0,30.0,71.58910531638178,92.2089967126815,S,3.695393896952978,129.60160518168084,135.8856477612107,137.95746220236526,suburban
30,270,-5.510910596163089e-15,-30.0,30.0,71.58910531638178,92.2089967126815,S,3.695393896952978,129.60160518168084,135.8856477612107,137.95746220236526,urban
50,270,-9.184850993605149e-15,-50.0,50.0,82.00609733428364,111.1492920562198,S,1.3289109375453263,133.08626222672717,136.99018421518437,139.51887202309814,dense_urban
50,270,-9.184850993605149e-15,-50.0,50.0,82.00609733428364,111.1492920562198,S,1.3289109375453263,133.08626222672717,136.99018421518437,139.51887202309814,high_rise
50,270,-9.184850993605149e-15,-50.0,50.0,82.00609733428364,111.1492920562198,S,1.3289109375453263,133.08626222672717,136.99018421518437,139.51887202309814,suburban
50,270,-9.184850993605149e-15,-50.0,50.0,82.00609733428364,111.1492920562198,S,1.3289109375453263,133.08626222672717,136.99018421518437,139.51887202309814,urban
75,270,-1.3777276490407723e-14,-75.0,75.0,99.24716620639606,135.2543813963092,S,-0.5000421473062497,136.26189936396085,138.56958533200896,141.1793219269583,dense_urban
75,270,-1.3777276490407723e-14,-75.0,75.0,99.24716620639606,135.2543813963092,S,-0.5000421473062497,136.26189936396085,138.56958533200896,141.1793219269583,high_rise
75,270,-1.3777276490407723e-14,-75.0,75.0,99.24716620639606,135.2543813963092,S,-0.5000421473062497,136.26189936396085,138.56958533200896,141.1793219269583,suburban
75,270,-1.3777276490407723e-14,-75.0,75.0,99.24716620639606,135.2543813963092,S,-0.5000421473062497,136.26189936396085,138.56958533200896,141.1793219269583,urban
100,270,-1.8369701987210297e-14,-100.0,100.0,119.26860441876565,159.63499067935481,S,-1.6988948681751324,138.63268043773252,140.11331303029257,142.59256356830292,dense_urban
100,270,-1.8369701987210297e-14,-100.0,100.0,119.26860441876565,159.63499067935481,S,-1.6988948681751324,138.63268043773252,140.11331303029257,142.59256356830292,high_rise
100,270,-1.8369701987210297e-14,-100.0,100.0,119.26860441876565,159.63499067935481,S,-1.6988948681751324,138.63268043773252,140.11331303029257,142.59256356830292,suburban
100,270,-1.8369701987210297e-14,-100.0,100.0,119.26860441876565,159.63499067935481,S,-1.6988948681751324,138.63268043773252,140.11331303029257,142.59256356830292,urban
