episode,eval_reward,fairness,outage
10,0.2778836624572586,0.994800992930494,152.75
20,0.22972564586238095,0.8205484302114403,146.0
30,0.29304271377433955,0.806479827879276,129.25
40,0.3674194551121184,0.9757238495694996,113.75
50,0.44204868937361297,0.8847681764195638,84.125
60,0.15051965898909717,0.9989939491001989,179.75
70,0.11354362040528596,0.993910105116175,175.0
80,0.10733566030524964,0.9973046870017432,184.75
90,0.312892445501824,0.8304111491063767,95.375
100,0.5633889697737953,0.8069320929286938,67.75
110,0.6401101142602237,0.951697851142415,50.0
120,0.5032833917690829,0.7799873368880772,30.75
130,0.334118823204269,0.9129357911799323,104.125
140,0.3570736849607765,0.9419490618392166,115.375
150,0.19465941325011463,0.9316545103860261,150.875
160,0.1885946687195899,0.799909727390689,129.5
170,0.46634333175842796,0.8539082830448366,81.875
180,0.07961440313421335,0.9737322723564452,175.0
190,0.4703478523339567,0.8834705804779033,82.375
200,0.505430211200999,0.7346476309578731,43.375
210,0.5213192352010049,0.7930764016243514,62.125
220,-0.025000000000000015,0.9999999971916553,200.0
230,0.6156282842435996,0.8513955605278717,46.125
240,0.5430338506832022,0.960010644336156,79.75
250,0.4338984497822343,0.9451351630323122,82.625
260,0.484457865666733,0.7731896456648735,80.25
270,0.397692649229585,0.9695664757976505,101.375
280,0.5451997748388331,0.9042436379845991,68.375
290,0.6555538653796507,0.9206392688011855,42.75
300,0.6437593436143778,0.8567321825759169,19.875
310,0.5936316109061159,0.9881277518127302,73.125
320,0.5267868402390732,0.7126491089600635,27.625
330,0.5353020426428348,0.9069445012542823,61.5
340,0.5774767405281587,0.8756569371294955,39.5
350,0.35623921265502057,0.7720654472904582,83.0
360,0.40166046381994774,0.7668364233952076,81.0
370,0.5371024031438915,0.8754027513726067,50.0
380,0.5962459229610224,0.8507454245359742,42.25
390,0.6565104651660573,0.8994690344014431,36.0
400,0.5173206089846871,0.9718366699166391,89.125
