episode,scenario_name,rain_mm_h,visibility_km,hour_of_day
1,clear_very_poor_morning,0.0,0.5,10.533082554049255
2,moderate_very_poor_afternoon,5.0,0.5,16.736832697424735
3,light_excellent_evening,2.0,15.0,23.414936439282144
4,heavy_very_poor_evening,10.0,0.5,18.865543326646893
5,moderate_excellent_morning,5.0,15.0,10.80926250949361
6,moderate_good_evening,5.0,7.5,22.242359732366445
7,heavy_poor_evening,10.0,2.5,19.74627871849992
8,moderate_good_night,5.0,7.5,5.453729322834645
9,clear_poor_night,0.0,2.5,1.5316141465002078
10,severe_very_poor_afternoon,20.0,0.5,15.159945578929555
11,moderate_excellent_morning,5.0,15.0,11.41691822942241
12,light_excellent_afternoon,2.0,15.0,16.07553587238025
13,severe_good_evening,20.0,7.5,19.984276705388098
14,heavy_poor_morning,10.0,2.5,7.496799393168986
15,heavy_very_poor_evening,10.0,0.5,19.314344579923244
16,severe_good_morning,20.0,7.5,6.9198744943258585
17,light_poor_night,2.0,2.5,3.3540596066234354
18,severe_excellent_night,20.0,15.0,0.1766944740241323
19,heavy_very_poor_afternoon,10.0,0.5,15.956420558208771
20,moderate_poor_evening,5.0,2.5,18.737496744527228
21,severe_very_poor_night,20.0,0.5,5.614547660768178
22,severe_excellent_morning,20.0,15.0,6.753213408527917
23,severe_good_afternoon,20.0,7.5,15.885996353445481
24,clear_poor_evening,0.0,2.5,18.813557018553922
25,severe_poor_morning,20.0,2.5,9.753284674561693
26,moderate_very_poor_night,5.0,0.5,4.007350077784894
27,light_excellent_night,2.0,15.0,2.161148658615402
28,heavy_poor_morning,10.0,2.5,11.085053526033297
29,heavy_excellent_afternoon,10.0,15.0,12.025074602480725
30,severe_excellent_afternoon,20.0,15.0,16.711689001865665
31,clear_excellent_evening,0.0,15.0,21.6624575170522
32,clear_good_night,0.0,7.5,4.856720755085528
33,heavy_good_afternoon,10.0,7.5,13.901269654605503
34,moderate_excellent_evening,5.0,15.0,20.558742818217013
35,clear_very_poor_afternoon,0.0,0.5,17.267110942822484
36,heavy_good_afternoon,10.0,7.5,15.055412176858637
37,clear_poor_afternoon,0.0,2.5,15.59631843731568
38,heavy_excellent_morning,10.0,15.0,9.97937765209463
39,heavy_excellent_morning,10.0,15.0,11.855779661868453
40,clear_good_night,0.0,7.5,3.4685805327851256
41,moderate_good_morning,5.0,7.5,6.407415914205446
42,severe_good_afternoon,20.0,7.5,12.496137659316908
43,severe_good_night,20.0,7.5,0.5186899171279302
44,light_very_poor_evening,2.0,0.5,21.5078585241544
45,moderate_excellent_afternoon,5.0,15.0,13.296867444937185
46,light_excellent_afternoon,2.0,15.0,16.13376223295548
47,clear_good_afternoon,0.0,7.5,15.826143232605641
48,heavy_poor_evening,10.0,2.5,18.44753980602377
49,light_excellent_evening,2.0,15.0,21.98428428330259
50,severe_excellent_night,20.0,15.0,0.8979013482283147
51,severe_very_poor_evening,20.0,0.5,21.442719352748718
52,clear_poor_morning,0.0,2.5,7.582297243939032
53,clear_very_poor_afternoon,0.0,0.5,15.879870316026267
54,moderate_good_night,5.0,7.5,2.2672000334763664
55,heavy_poor_morning,10.0,2.5,6.299052382148752
56,clear_very_poor_night,0.0,0.5,5.783293800136434
57,clear_excellent_evening,0.0,15.0,19.946704130997748
58,severe_excellent_night,20.0,15.0,4.302439395785738
59,light_poor_evening,2.0,2.5,20.989488980099146
60,clear_excellent_morning,0.0,15.0,7.4477681496022745
61,severe_excellent_night,20.0,15.0,2.9700912876082706
62,moderate_very_poor_morning,5.0,0.5,9.541876651798574
63,severe_good_morning,20.0,7.5,11.7260170884368
64,moderate_poor_evening,5.0,2.5,22.934958169127277
65,moderate_good_evening,5.0,7.5,22.19540230348865
66,moderate_excellent_afternoon,5.0,15.0,13.324753015843793
67,clear_poor_night,0.0,2.5,2.541537690018079
68,heavy_excellent_morning,10.0,15.0,10.058743663591292
69,clear_very_poor_afternoon,0.0,0.5,14.305021277624949
70,clear_very_poor_evening,0.0,0.5,19.304661974711298
71,light_good_night,2.0,7.5,5.948149510832595
72,light_excellent_afternoon,2.0,15.0,17.904342725842714
73,severe_very_poor_night,20.0,0.5,2.526673916498999
74,severe_excellent_afternoon,20.0,15.0,14.266407930154843
75,light_excellent_evening,2.0,15.0,19.791940570952193
76,light_good_night,2.0,7.5,3.4529263913074235
77,severe_very_poor_night,20.0,0.5,3.972761345646676
78,clear_good_night,0.0,7.5,3.686721484609407
79,moderate_excellent_night,5.0,15.0,0.5075523920745608
80,heavy_excellent_night,10.0,15.0,4.191395302460465
81,severe_poor_night,20.0,2.5,2.4401256696891833
82,clear_very_poor_night,0.0,0.5,1.2470847951625021
83,moderate_very_poor_night,5.0,0.5,2.378715397917012
84,severe_very_poor_evening,20.0,0.5,21.66367545426281
85,light_very_poor_evening,2.0,0.5,19.248621126566245
86,moderate_very_poor_afternoon,5.0,0.5,15.419598623893144
87,heavy_very_poor_night,10.0,0.5,3.22925300191553
88,severe_poor_afternoon,20.0,2.5,12.341348884569946
89,severe_very_poor_morning,20.0,0.5,11.10718477424438
90,heavy_good_afternoon,10.0,7.5,15.349518509690643
91,severe_very_poor_afternoon,20.0,0.5,15.66209617344245
92,light_very_poor_afternoon,2.0,0.5,12.785334625577764
93,heavy_poor_morning,10.0,2.5,6.915734740379081
94,clear_poor_night,0.0,2.5,4.85771023501724
95,moderate_poor_evening,5.0,2.5,20.65725763982146
96,severe_excellent_afternoon,20.0,15.0,14.745113773006075
97,heavy_excellent_afternoon,10.0,15.0,17.417175078514244
98,moderate_excellent_evening,5.0,15.0,22.462555744815024
99,heavy_excellent_evening,10.0,15.0,23.01312590181793
100,clear_very_poor_afternoon,0.0,0.5,14.248368107192498
101,clear_very_poor_night,0.0,0.5,2.8736061240269475
102,heavy_excellent_night,10.0,15.0,2.105016285858442
103,moderate_poor_morning,5.0,2.5,10.046599218969106
104,severe_very_poor_afternoon,20.0,0.5,16.109553919406224
105,heavy_good_evening,10.0,7.5,21.560797136676857
106,severe_very_poor_morning,20.0,0.5,6.492838581844217
107,heavy_good_morning,10.0,7.5,7.546559524902309
108,light_excellent_night,2.0,15.0,3.5468009410125996
109,clear_very_poor_morning,0.0,0.5,10.509696892770078
110,heavy_good_afternoon,10.0,7.5,17.51245700825707
111,heavy_very_poor_morning,10.0,0.5,7.088616608258157
112,severe_good_morning,20.0,7.5,10.615539049629437
113,clear_good_evening,0.0,7.5,22.0426054923733
114,heavy_very_poor_night,10.0,0.5,2.654121863906652
