Landscape,Distance_km,SINR_Direct_dB,Capacity_Direct_bps_Hz,SINR_HAPS_UAV_dB,SINR_UAV_UE_dB,Capacity_HAPS_UAV_bps_Hz,Capacity_UAV_UE_bps_Hz,Capacity_UAV_Relay_bps_Hz,Bottleneck_Hop,Relay_Beats_Direct
suburban,0,18.5,6.17,29.3,31.4,9.72,10.45,9.72,HAPS-UAV,True
suburban,10,17.5,5.85,27.2,31.4,9.04,10.45,9.04,HAPS-UAV,True
suburban,20,15.5,5.19,22.5,31.4,7.48,10.45,7.48,HAPS-UAV,True
suburban,30,13.4,4.52,17.0,31.4,5.66,10.45,5.66,HAPS-UAV,True
suburban,50,9.9,3.43,5.7,31.4,2.24,10.45,2.24,HAPS-UAV,False
suburban,75,6.7,2.52,-7.7,31.4,0.22,10.45,0.22,HAPS-UAV,False
suburban,100,4.4,1.9,-20.6,31.4,0.01,10.45,0.01,HAPS-UAV,False
urban,0,18.5,6.17,29.3,30.5,9.72,10.15,9.72,HAPS-UAV,True
urban,10,17.5,5.85,27.2,30.5,9.04,10.15,9.04,HAPS-UAV,True
urban,20,15.5,5.19,22.5,30.5,7.48,10.15,7.48,HAPS-UAV,True
urban,30,13.4,4.52,17.0,30.5,5.66,10.15,5.66,HAPS-UAV,True
urban,50,9.9,3.43,5.7,30.5,2.24,10.15,2.24,HAPS-UAV,False
urban,75,6.7,2.52,-7.7,30.5,0.22,10.15,0.22,HAPS-UAV,False
urban,100,4.4,1.9,-20.6,30.5,0.01,10.15,0.01,HAPS-UAV,False
dense_urban,0,18.5,6.17,29.3,29.9,9.72,9.95,9.72,HAPS-UAV,True
dense_urban,10,17.5,5.85,27.2,29.9,9.04,9.95,9.04,HAPS-UAV,True
dense_urban,20,15.5,5.19,22.5,29.9,7.48,9.95,7.48,HAPS-UAV,True
dense_urban,30,13.4,4.52,17.0,29.9,5.66,9.95,5.66,HAPS-UAV,True
dense_urban,50,9.9,3.43,5.7,29.9,2.24,9.95,2.24,HAPS-UAV,False
dense_urban,75,6.7,2.52,-7.7,29.9,0.22,9.95,0.22,HAPS-UAV,False
dense_urban,100,4.4,1.9,-20.6,29.9,0.01,9.95,0.01,HAPS-UAV,False
high_rise,0,18.5,6.17,29.3,29.2,9.72,9.72,9.72,UAV-UE,True
high_rise,10,17.5,5.85,27.2,29.2,9.04,9.72,9.04,HAPS-UAV,True
high_rise,20,15.5,5.19,22.5,29.2,7.48,9.72,7.48,HAPS-UAV,True
high_rise,30,13.4,4.52,17.0,29.2,5.66,9.72,5.66,HAPS-UAV,True
high_rise,50,9.9,3.43,5.7,29.2,2.24,9.72,2.24,HAPS-UAV,False
high_rise,75,6.7,2.52,-7.7,29.2,0.22,9.72,0.22,HAPS-UAV,False
high_rise,100,4.4,1.9,-20.6,29.2,0.01,9.72,0.01,HAPS-UAV,False
