Landscape,Distance_m,Slant_Distance_m,Elevation_deg,Signal_Power_dBm,SINR_Single,SINR_Interferers,SINR_Actual
suburban,10,19950.0,89.97,-61.94,38.06,-43.33,38.06
suburban,50,19950.0,89.86,-61.94,38.06,-43.31,38.06
suburban,100,19950.0,89.71,-61.94,38.06,-43.29,38.06
suburban,500,19956.0,88.56,-61.95,38.05,-43.13,38.05
urban,10,19950.0,89.97,-61.94,38.06,-43.33,38.06
urban,50,19950.0,89.86,-61.94,38.06,-43.31,38.06
urban,100,19950.0,89.71,-61.94,38.06,-43.29,38.06
urban,500,19956.0,88.56,-61.95,38.05,-43.13,38.05
dense_urban,10,19950.0,89.97,-61.94,38.06,-43.33,38.06
dense_urban,50,19950.0,89.86,-61.94,38.06,-43.31,38.06
dense_urban,100,19950.0,89.71,-61.94,38.06,-43.29,38.06
dense_urban,500,19956.0,88.56,-61.95,38.05,-43.13,38.05
high_rise,10,19950.0,89.97,-61.94,38.06,-43.33,38.06
high_rise,50,19950.0,89.86,-61.94,38.06,-43.31,38.06
high_rise,100,19950.0,89.71,-61.94,38.06,-43.29,38.06
high_rise,500,19956.0,88.56,-61.95,38.05,-43.13,38.05
