Landscape,Distance_m,Slant_Distance_m,Elevation_deg,Signal_Power_dBm,SINR_Single,SINR_Interferers,SINR_Actual
suburban,10000,22359.0,63.43,-82.45,17.55,11.84,5.43
suburban,30000,36055.0,33.69,-86.6,13.4,14.06,-0.83
suburban,50000,53851.0,21.8,-90.09,9.91,17.23,-7.4
suburban,100000,101980.0,11.31,-95.63,4.37,13.22,-9.06
urban,10000,22359.0,63.43,-82.45,17.55,11.84,5.43
urban,30000,36055.0,33.69,-86.6,13.4,14.06,-0.83
urban,50000,53851.0,21.8,-90.09,9.91,17.23,-7.4
urban,100000,101980.0,11.31,-95.63,4.37,13.22,-9.06
dense_urban,10000,22359.0,63.43,-82.45,17.55,11.84,5.43
dense_urban,30000,36055.0,33.69,-86.6,13.4,14.06,-0.83
dense_urban,50000,53851.0,21.8,-90.09,9.91,17.23,-7.4
dense_urban,100000,101980.0,11.31,-95.63,4.37,13.22,-9.06
high_rise,10000,22359.0,63.43,-82.45,17.55,11.84,5.43
high_rise,30000,36055.0,33.69,-86.6,13.4,14.06,-0.83
high_rise,50000,53851.0,21.8,-90.09,9.91,17.23,-7.4
high_rise,100000,101980.0,11.31,-95.63,4.37,13.22,-9.06
